Census Tract 2020,SALE PRICE
344.0,409438.17647058825
345.0,383630.2083333333
347.0,469313.3859649123
348.0,1263629.0634920634
350.0,527344.4
351.0,331793.0
352.0,462032.243902439
353.0,710086.8421052631
354.0,346170.38157894736
355.0,187650.0
356.0,230190.47619047618
357.0,501833.88679245283
358.0,563472.748091603
359.0,1036409.52
360.0,425260.44
361.0,372166.6666666667
362.0,815833.5111111111
363.0,2002000.3866666667
364.0,508268.4583333333
365.0,480687.01470588235
366.0,626993.1168831169
367.0,774715.3255813953
368.0,422854.28
369.0,523128.12765957444
370.0,465396.3766233766
371.0,520279.34285714285
372.0,467417.5
373.0,607082.1123595505
374.0,419266.6666666667
375.0,627808.125
376.0,393910.91
377.0,766798.2884615385
378.0,944304.3478260869
379.0,517247.5
380.0,367101.8717948718
381.0,813092.5217391305
382.0,2217685.418604651
